title,body,labels,assignees,milestone,type
"[US-022] Endpoint GET /random - Ayat random","## User Story: Endpoint GET /random - Ayat random

**Description:** As an API consumer, I want to get a random ayah so that I can discover Quran content.

### Acceptance Criteria:
- [ ] GET /random return satu ayat random
- [ ] Support query parameter: `?lang=id` atau `?lang=en`
- [ ] Support query parameter: `?surah_id=1` untuk random dalam surat tertentu
- [ ] Response structure: `{ ayah: { number, surah_info, number_in_surah, text_uthmani, translation, juz, page } }`
- [ ] Return HTTP 200

### API Specification:
```
GET /random?lang=id&surah_id=1
```","endpoint,utility,feature",,4,
"[US-023] Rate limiting middleware dengan Redis","## User Story: Rate limiting middleware dengan Redis

**Description:** As an API owner, I want to implement rate limiting by IP using Redis so that API tidak disalahgunakan.

### Acceptance Criteria:
- [ ] Implement rate limiting middleware dengan Redis backend
- [ ] Limit: 100 request per menit per IP
- [ ] Return HTTP 429 Too Many Requests dengan headers: `X-RateLimit-Limit`, `X-RateLimit-Remaining`, `X-RateLimit-Reset`, `Retry-After`
- [ ] Redis connection menggunakan connection pooling
- [ ] Configurable limit lewat environment variable `RATE_LIMIT_PER_MINUTE`
- [ ] Handle Redis connection failure gracefully (fallback to allow all)

### Response Headers (429):
```
X-RateLimit-Limit: 100
X-RateLimit-Remaining: 0
X-RateLimit-Reset: 1640995200
Retry-After: 30
```","middleware,security,redis,high-priority",,4,bug
"[US-024] API Documentation dengan Scalar","## User Story: API Documentation dengan Scalar

**Description:** As an API consumer, I want to access interactive API documentation so that I can explore endpoints easily.

### Acceptance Criteria:
- [ ] Setup Scalar untuk API documentation
- [ ] Serve Scalar UI di endpoint /docs
- [ ] Generate OpenAPI 3.0 spec dari annotations
- [ ] Document semua endpoint dengan method, path, parameters, response examples
- [ ] Include contoh response untuk setiap endpoint
- [ ] Scalar UI harus standalone

### API Specification:
```
GET /docs
```","documentation,docs,feature",,5,
"[US-025] Observability - Metrics endpoint","## User Story: Observability - Metrics endpoint

**Description:** As an operator, I want to expose metrics so that I can monitor API health and performance.

### Acceptance Criteria:
- [ ] Expose Prometheus metrics at /metrics
- [ ] Track: request count, request duration, error rate by endpoint
- [ ] Track database connection pool stats
- [ ] Track Redis connection stats
- [ ] Track rate limiting: blocked requests count

### API Specification:
```
GET /metrics
```","observability,metrics,monitoring",,5,
"[US-026] Health check endpoint","## User Story: Health check endpoint

**Description:** As an operator/deployer, I want to check API health so that I can monitor service availability.

### Acceptance Criteria:
- [ ] GET /health return status API
- [ ] Response structure: `{ status: "ok", timestamp: "...", version: "..." }`
- [ ] GET /health/ready untuk readiness probe (check DB & Redis connection)
- [ ] GET /health/live untuk liveness probe
- [ ] Return HTTP 503 jika dependency tidak ready

### API Specifications:
```
GET /health
GET /health/ready
GET /health/live
```","endpoint,health,monitoring,high-priority",,5,
"[US-027] CORS dan Security headers","## User Story: CORS dan Security headers

**Description:** As an API owner, I want proper CORS dan security headers so that API bisa dikonsumsi dari frontend manapun.

### Acceptance Criteria:
- [ ] Setup CORS middleware untuk allow all origins (public API)
- [ ] Add security headers: `X-Content-Type-Options: nosniff`, `X-Frame-Options: DENY`, `X-XSS-Protection`
- [ ] Add `Access-Control-Allow-Origin: *`
- [ ] Add `Access-Control-Allow-Headers: Content-Type, Authorization`
- [ ] Handle OPTIONS preflight request properly

### Security Headers:
```
X-Content-Type-Options: nosniff
X-Frame-Options: DENY
X-XSS-Protection: 1; mode=block
Access-Control-Allow-Origin: *
Access-Control-Allow-Headers: Content-Type, Authorization
```","middleware,security,cors",,5,enhancement
